GEOID,County,Neighborhood_type,categorical_average
06073010015,San Diego,70+ Latino,Above County Average
06073010109,San Diego,70+ Latino,Above County Average
06073013204,San Diego,70+ Latino,Above County Average
06073013203,San Diego,70+ Latino,Above County Average
06073013104,San Diego,70+ Latino,Above County Average
06073013103,San Diego,70+ Latino,Above County Average
06073013205,San Diego,70+ Latino,Above County Average
06073012600,San Diego,70+ Latino,Above County Average
06073010112,San Diego,70+ Latino,Above County Average
06073010111,San Diego,70+ Latino,Above County Average
06073010107,San Diego,70+ Latino,Above County Average
06073010106,San Diego,70+ Latino,Above County Average
06073010013,San Diego,70+ Latino,Above County Average
06073010010,San Diego,70+ Latino,Above County Average
06073010009,San Diego,70+ Latino,Above County Average
06073010004,San Diego,70+ Latino,Above County Average
06073010005,San Diego,70+ Latino,Above County Average
06073010012,San Diego,70+ Latino,Above County Average
06073010103,San Diego,70+ Latino,Above County Average
06073012501,San Diego,70+ Latino,Above County Average
06073013303,San Diego,70+ Latino,Above County Average
06073013302,San Diego,70+ Latino,Above County Average
06073013206,San Diego,70+ Latino,Above County Average
06073013306,San Diego,70+ Latino,Above County Average
06073013312,San Diego,70+ Latino,Above County Average
06073013308,San Diego,70+ Latino,Above County Average
06073013307,San Diego,70+ Latino,Above County Average
